pair_subj,pair_emo,subj_i,subj_j,emotion1,emotion2,matched,same_culture,rho
"('P0', 'P11')","('fear', 'neutral')",P0,P11,fear,neutral,False,True,-0.17221523696589047
"('P0', 'P11')","('fear', 'fear')",P0,P11,fear,fear,True,True,0.23698185494043758
"('P0', 'P11')","('fear', 'anger')",P0,P11,fear,anger,False,True,0.01672353401454029
"('P0', 'P11')","('fear', 'disgust')",P0,P11,fear,disgust,False,True,0.3183690458317953
"('P0', 'P11')","('fear', 'sadness')",P0,P11,fear,sadness,False,True,0.28599051448246426
"('P0', 'P11')","('fear', 'happiness')",P0,P11,fear,happiness,False,True,0.2981870232691227
"('P0', 'P11')","('fear', 'surprise')",P0,P11,fear,surprise,False,True,0.03956144251820966
"('P0', 'P11')","('anger', 'neutral')",P0,P11,anger,neutral,False,True,-0.5209564457444397
"('P0', 'P11')","('anger', 'fear')",P0,P11,anger,fear,False,True,0.5461301600720582
"('P0', 'P11')","('anger', 'anger')",P0,P11,anger,anger,True,True,0.5179711445369811
"('P0', 'P11')","('anger', 'disgust')",P0,P11,anger,disgust,False,True,0.25507881518303116
"('P0', 'P11')","('anger', 'sadness')",P0,P11,anger,sadness,False,True,0.32121668014579985
"('P0', 'P11')","('anger', 'happiness')",P0,P11,anger,happiness,False,True,0.579250801870306
"('P0', 'P11')","('anger', 'surprise')",P0,P11,anger,surprise,False,True,0.566282358635794
"('P0', 'P11')","('disgust', 'neutral')",P0,P11,disgust,neutral,False,True,-0.05824344164951477
"('P0', 'P11')","('disgust', 'fear')",P0,P11,disgust,fear,False,True,0.13172691618070256
"('P0', 'P11')","('disgust', 'anger')",P0,P11,disgust,anger,False,True,0.07393439025270479
"('P0', 'P11')","('disgust', 'disgust')",P0,P11,disgust,disgust,True,True,0.45270230482241486
"('P0', 'P11')","('disgust', 'sadness')",P0,P11,disgust,sadness,False,True,0.27639737627153804
"('P0', 'P11')","('disgust', 'happiness')",P0,P11,disgust,happiness,False,True,0.11278101504574999
"('P0', 'P11')","('disgust', 'surprise')",P0,P11,disgust,surprise,False,True,0.12263254499630001
"('P0', 'P11')","('sadness', 'neutral')",P0,P11,sadness,neutral,False,True,-0.09274711299772549
"('P0', 'P11')","('sadness', 'fear')",P0,P11,sadness,fear,False,True,0.08686516580877837
"('P0', 'P11')","('sadness', 'anger')",P0,P11,sadness,anger,False,True,0.12606245929771964
"('P0', 'P11')","('sadness', 'disgust')",P0,P11,sadness,disgust,False,True,0.4229801369830173
"('P0', 'P11')","('sadness', 'sadness')",P0,P11,sadness,sadness,True,True,0.2834034650778862
"('P0', 'P11')","('sadness', 'happiness')",P0,P11,sadness,happiness,False,True,0.147235654964638
"('P0', 'P11')","('sadness', 'surprise')",P0,P11,sadness,surprise,False,True,0.16500451571227326
"('P0', 'P11')","('happiness', 'neutral')",P0,P11,happiness,neutral,False,True,-0.19064529873444055
"('P0', 'P11')","('happiness', 'fear')",P0,P11,happiness,fear,False,True,0.2372993317612816
"('P0', 'P11')","('happiness', 'anger')",P0,P11,happiness,anger,False,True,0.16491710722559905
"('P0', 'P11')","('happiness', 'disgust')",P0,P11,happiness,disgust,False,True,0.4602981800244949
"('P0', 'P11')","('happiness', 'sadness')",P0,P11,happiness,sadness,False,True,0.43482688614739373
"('P0', 'P11')","('happiness', 'happiness')",P0,P11,happiness,happiness,True,True,0.3217978365023415
"('P0', 'P11')","('happiness', 'surprise')",P0,P11,happiness,surprise,False,True,0.1592366896314854
"('P0', 'P11')","('surprise', 'neutral')",P0,P11,surprise,neutral,False,True,-0.06335887640515235
"('P0', 'P11')","('surprise', 'fear')",P0,P11,surprise,fear,False,True,0.13475338993090966
"('P0', 'P11')","('surprise', 'anger')",P0,P11,surprise,anger,False,True,0.012164606136705542
"('P0', 'P11')","('surprise', 'disgust')",P0,P11,surprise,disgust,False,True,0.1827661939113673
"('P0', 'P11')","('surprise', 'sadness')",P0,P11,surprise,sadness,False,True,0.1897143666704307
"('P0', 'P11')","('surprise', 'happiness')",P0,P11,surprise,happiness,False,True,0.10264376853203633
"('P0', 'P11')","('surprise', 'surprise')",P0,P11,surprise,surprise,True,True,-0.11312099840234201
