pair_subj,pair_emo,subj_i,subj_j,emotion1,emotion2,matched,same_culture,rho
"('P0', 'P10')","('fear', 'neutral')",P0,P10,fear,neutral,False,False,-0.0197754769741682
"('P0', 'P10')","('fear', 'fear')",P0,P10,fear,fear,True,False,0.201387555235933
"('P0', 'P10')","('fear', 'anger')",P0,P10,fear,anger,False,False,0.1005453415623136
"('P0', 'P10')","('fear', 'disgust')",P0,P10,fear,disgust,False,False,0.1844491402636857
"('P0', 'P10')","('fear', 'sadness')",P0,P10,fear,sadness,False,False,0.1327412110332411
"('P0', 'P10')","('fear', 'happiness')",P0,P10,fear,happiness,False,False,0.2116395361198342
"('P0', 'P10')","('fear', 'surprise')",P0,P10,fear,surprise,False,False,0.3581239495074607
"('P0', 'P10')","('anger', 'neutral')",P0,P10,anger,neutral,False,False,-0.009971160211979
"('P0', 'P10')","('anger', 'fear')",P0,P10,anger,fear,False,False,0.3078805797562349
"('P0', 'P10')","('anger', 'anger')",P0,P10,anger,anger,True,False,0.5953348111107578
"('P0', 'P10')","('anger', 'disgust')",P0,P10,anger,disgust,False,False,0.1811564227906441
"('P0', 'P10')","('anger', 'sadness')",P0,P10,anger,sadness,False,False,0.1064439579360839
"('P0', 'P10')","('anger', 'happiness')",P0,P10,anger,happiness,False,False,0.2054098554262445
"('P0', 'P10')","('anger', 'surprise')",P0,P10,anger,surprise,False,False,0.5293985072083061
"('P0', 'P10')","('disgust', 'neutral')",P0,P10,disgust,neutral,False,False,-0.0064230137097347
"('P0', 'P10')","('disgust', 'fear')",P0,P10,disgust,fear,False,False,0.1001435352735657
"('P0', 'P10')","('disgust', 'anger')",P0,P10,disgust,anger,False,False,0.1008686446775046
"('P0', 'P10')","('disgust', 'disgust')",P0,P10,disgust,disgust,True,False,0.2289262239915753
"('P0', 'P10')","('disgust', 'sadness')",P0,P10,disgust,sadness,False,False,-0.1007270400174403
"('P0', 'P10')","('disgust', 'happiness')",P0,P10,disgust,happiness,False,False,0.0780637510962084
"('P0', 'P10')","('disgust', 'surprise')",P0,P10,disgust,surprise,False,False,0.0893380127342441
"('P0', 'P10')","('sadness', 'neutral')",P0,P10,sadness,neutral,False,False,-0.0014544301320547
"('P0', 'P10')","('sadness', 'fear')",P0,P10,sadness,fear,False,False,0.1364684525470068
"('P0', 'P10')","('sadness', 'anger')",P0,P10,sadness,anger,False,False,0.1171881578127619
"('P0', 'P10')","('sadness', 'disgust')",P0,P10,sadness,disgust,False,False,0.2165567416063738
"('P0', 'P10')","('sadness', 'sadness')",P0,P10,sadness,sadness,True,False,-0.1050807429344438
"('P0', 'P10')","('sadness', 'happiness')",P0,P10,sadness,happiness,False,False,0.0212886476840412
"('P0', 'P10')","('sadness', 'surprise')",P0,P10,sadness,surprise,False,False,0.1099385773892619
"('P0', 'P10')","('happiness', 'neutral')",P0,P10,happiness,neutral,False,False,-0.0258537808365487
"('P0', 'P10')","('happiness', 'fear')",P0,P10,happiness,fear,False,False,0.3131944723121243
"('P0', 'P10')","('happiness', 'anger')",P0,P10,happiness,anger,False,False,0.3343633146088925
"('P0', 'P10')","('happiness', 'disgust')",P0,P10,happiness,disgust,False,False,0.2480355482098995
"('P0', 'P10')","('happiness', 'sadness')",P0,P10,happiness,sadness,False,False,0.0296782844038452
"('P0', 'P10')","('happiness', 'happiness')",P0,P10,happiness,happiness,True,False,0.2011598397650502
"('P0', 'P10')","('happiness', 'surprise')",P0,P10,happiness,surprise,False,False,0.2683014539759734
"('P0', 'P10')","('surprise', 'neutral')",P0,P10,surprise,neutral,False,False,-0.0124002205149434
"('P0', 'P10')","('surprise', 'fear')",P0,P10,surprise,fear,False,False,0.1382417172062491
"('P0', 'P10')","('surprise', 'anger')",P0,P10,surprise,anger,False,False,0.2939244001728523
"('P0', 'P10')","('surprise', 'disgust')",P0,P10,surprise,disgust,False,False,0.0184544685497562
"('P0', 'P10')","('surprise', 'sadness')",P0,P10,surprise,sadness,False,False,0.1095494700593297
"('P0', 'P10')","('surprise', 'happiness')",P0,P10,surprise,happiness,False,False,0.3966159257973063
"('P0', 'P10')","('surprise', 'surprise')",P0,P10,surprise,surprise,True,False,0.1482009975517051
"('P0', 'P11')","('neutral', 'neutral')",P0,P11,neutral,neutral,True,True,-0.1985371392073124
"('P0', 'P11')","('neutral', 'fear')",P0,P11,neutral,fear,False,True,0.2672564047261601
"('P0', 'P11')","('neutral', 'anger')",P0,P11,neutral,anger,False,True,0.2768781219254483
"('P0', 'P11')","('neutral', 'disgust')",P0,P11,neutral,disgust,False,True,0.3262908141573563
"('P0', 'P11')","('neutral', 'sadness')",P0,P11,neutral,sadness,False,True,0.2241100207015409
"('P0', 'P11')","('neutral', 'happiness')",P0,P11,neutral,happiness,False,True,0.0866265760587182
"('P0', 'P11')","('neutral', 'surprise')",P0,P11,neutral,surprise,False,True,0.3497310236325994
"('P0', 'P11')","('fear', 'neutral')",P0,P11,fear,neutral,False,True,-0.1695046943784406
"('P0', 'P11')","('fear', 'fear')",P0,P11,fear,fear,True,True,0.2330273748740864
"('P0', 'P11')","('fear', 'anger')",P0,P11,fear,anger,False,True,0.0170697858722921
"('P0', 'P11')","('fear', 'disgust')",P0,P11,fear,disgust,False,True,0.3197597722030436
"('P0', 'P11')","('fear', 'sadness')",P0,P11,fear,sadness,False,True,0.2856611371784003
"('P0', 'P11')","('fear', 'happiness')",P0,P11,fear,happiness,False,True,0.3010820246351348
"('P0', 'P11')","('fear', 'surprise')",P0,P11,fear,surprise,False,True,0.0392764705960648
"('P0', 'P11')","('anger', 'neutral')",P0,P11,anger,neutral,False,True,-0.5187266317141624
"('P0', 'P11')","('anger', 'fear')",P0,P11,anger,fear,False,True,0.5444498392857157
"('P0', 'P11')","('anger', 'anger')",P0,P11,anger,anger,True,True,0.5138510015326845
"('P0', 'P11')","('anger', 'disgust')",P0,P11,anger,disgust,False,True,0.2564868713878182
