1764054046235,122,38
1764054046255,120,38
1764054046271,118,38
1764054046288,115,38
1764054046321,111,39
1764054046338,111,41
1764054046354,110,46
1764054046371,108,55
1764054046387,107,67
1764054046405,106,80
1764054046421,105,91
1764054046438,105,101
1764054046455,106,109
1764054046471,109,117
1764054046488,113,123
1764054046505,116,126
1764054046521,120,130
1764054046538,123,132
1764054046554,125,133
1764054046570,128,135
1764054046588,130,136
1764054046604,133,136
1764054046621,135,137
1764054046638,138,137
1764054046654,140,136
1764054046671,142,135
1764054046688,142,133
1764054046705,143,129
1764054046721,143,124
1764054046737,142,118
1764054046755,140,112
1764054046771,136,107
1764054046787,131,103
1764054046805,126,100
1764054046821,119,98
1764054046838,112,97
1764054046855,106,97
1764054046870,100,97
1764054046888,95,97
1764054046904,90,98
1764054046921,87,100
1764054046938,85,102
1764054046955,82,107
1764054046971,81,112
1764054046987,80,117
1764054047004,80,122
1764054047020,80,127
1764054047038,80,130
1764054047055,82,132
1764054047071,87,133
1764054047088,94,133
1764054047104,102,130
1764054047121,109,125
1764054047138,116,119
1764054047155,120,113
1764054047171,122,109
1764054047188,122,105
1764054047205,122,103
1764054047221,120,100
1764054047238,118,98
1764054047255,115,96
1764054047271,112,93
1764054047287,109,92
1764054047304,106,91
1764054047321,103,90
1764054047337,101,90
1764054047355,99,90
1764054047371,97,92
1764054047387,95,96
1764054047405,93,100
1764054047421,92,105
1764054047438,92,112
1764054047454,92,117
1764054047471,93,122
1764054047488,97,126
1764054047505,102,127
1764054047521,110,127
1764054047538,119,124
1764054047555,130,116
1764054047570,138,107
1764054047588,143,98
1764054047689,139,62
1764054047704,134,60
1764054047721,130,60
1764054047738,125,60
1764054047754,119,61
1764054047770,112,66
1764054047788,106,73
1764054047838,94,103
1764054047855,94,111
1764054047871,94,118
1764054047888,95,122
1764054047905,98,125
1764054047921,102,126
1764054047938,106,126
1764054047954,111,124
1764054047971,117,120
1764054047988,123,114
1764054048004,129,106
1764054048021,134,97
1764054048088,137,69
1764054048105,134,67
1764054048121,130,66
1764054048138,125,66
1764054048155,120,69
1764054048170,113,75
1764054048188,107,85
1764054048204,101,97
1764054048221,98,107
1764054048238,97,115
1764054048254,97,121
1764054048271,97,125
1764054048287,100,127
1764054048305,104,127
1764054048321,109,126
1764054048338,115,122
1764054048354,121,116
1764054048371,127,108
1764054048387,131,100
1764054048405,134,94
1764054048505,133,81
1764054048521,129,86
1764054048538,124,92
1764054048555,120,97
1764054048571,117,102
1764054048588,116,104
1764054048604,115,105
1764054048621,115,106
1764054048651,115,106
1764054048668,116,106
1764054048685,118,104
1764054048702,120,101
1764054048719,124,96
1764054048735,129,90
1764054048752,132,84
1764054048834,135,76
1764054048853,132,77
1764054048870,128,81
1764054048887,123,85
1764054048905,119,89
1764054048921,115,94
1764054048938,113,99
1764054048954,111,103
1764054048970,111,107
1764054048987,111,110
1764054049004,112,111
1764054049021,113,112
1764054049038,116,113
1764054049053,118,112
1764054049071,121,111
1764054049087,125,106
1764054049105,128,100
1764054049121,129,92
1764054049138,130,85
1764054049154,130,79
1764054049171,129,75
1764054049187,126,73
1764054049205,123,72
1764054049221,120,72
1764054049237,116,72
1764054049255,112,75
1764054049270,107,82
1764054049288,103,89
1764054049304,100,97
1764054049321,98,105
1764054049338,98,112
1764054049354,98,118
1764054049370,99,123
1764054049388,104,126
1764054049404,110,127
1764054049420,117,127
1764054049437,124,124
1764054049455,131,118
1764054049471,138,110
1764054049488,144,101
1764054049587,139,60
1764054049604,132,60
1764054049621,125,60
1764054049638,118,64
1764054049655,110,70
1764054049671,103,77
1764054049705,94,94
1764054049721,93,104
1764054049738,93,117
1764054049754,96,131
1764054049771,102,144
1764054049788,109,153
1764054049805,116,159
1764054049821,123,163
1764054049837,129,163
1764054049855,134,162
1764054049870,137,159
1764054049888,140,155
1764054049904,143,148
1764054049921,144,140
1764054049937,144,130
1764054049954,143,120
1764054049971,140,112
1764054049988,137,106
1764054050004,131,103
1764054050021,125,101
1764054050038,117,102
1764054050055,110,104
1764054050071,103,108
1764054050087,98,113
1764054050105,94,120
1764054050120,92,126
1764054050138,91,132
1764054050154,91,137
1764054050171,93,141
1764054050188,97,143
1764054050205,103,144
1764054050221,109,144
1764054050237,117,140
1764054050255,126,133
1764054050271,132,125
1764054050288,136,118
1764054050305,138,110
1764054050321,139,102
1764054050338,138,98
1764054050354,135,94
1764054050370,132,93
1764054050387,130,93
1764054050405,127,95
1764054050421,124,99
1764054050438,121,107
1764054050455,117,117
1764054050471,115,127
1764054050488,115,134
1764054050504,115,140
1764054050520,116,144
1764054050537,120,146
1764054050555,125,147
1764054050571,131,147
1764054050588,136,146
1764054050605,140,144
1764054050620,144,139
1764054050638,146,131
1764054050654,148,119
1764054050670,149,105
1764054050771,128,85
1764054050788,119,96
1764054050804,111,108
1764054050820,104,121
1764054050838,99,134
1764054050855,97,144
1764054050871,96,152
1764054050887,99,160
1764054050905,103,166
1764054050921,109,170
1764054050938,115,172
1764054050954,121,172
1764054050970,128,171
1764054050988,134,166
1764054051004,139,159
1764054051021,143,149
1764054051038,145,139
1764054051054,146,128
1764054051070,146,120
1764054051088,144,115
1764054051104,141,111
1764054051120,138,110
1764054051138,134,110
1764054051155,130,112
1764054051171,127,116
1764054051187,124,123
1764054051204,121,133
1764054051221,118,145
1764054051237,117,156
1764054051254,117,165
1764054051271,117,172
1764054051287,118,176
1764054051304,121,178
1764054051320,127,178
1764054051338,133,177
1764054051355,139,175
1764054051371,145,170
1764054051388,149,163
1764054051404,151,155
1764054051421,151,143
1764054051438,149,133
1764054051455,145,125
1764054051471,141,120
1764054051487,136,118
1764054051504,131,117
1764054051521,127,117
1764054051538,123,117
1764054051554,119,120
1764054051571,116,124
1764054051588,112,132
1764054051605,109,145
1764054051621,107,156
1764054051638,107,165
1764054051655,106,171
1764054051671,106,174
1764054051688,106,175
1764054051704,108,175
1764054051721,111,173
1764054051737,117,166
1764054051754,124,152
1764054051771,131,132
1764054051787,135,111
1764054051803,138,94
1764054051839,137,71
1764054051855,134,68
1764054051871,128,67
1764054051888,120,71
1764054051904,111,78
1764054051921,102,89
1764054051937,94,101
1764054051955,88,112
1764054051971,85,122
1764054051988,84,131
1764054052005,84,140
1764054052021,87,148
1764054052037,92,154
1764054052055,99,158
1764054052071,108,160
1764054052088,118,161
1764054052105,128,161
1764054052121,137,157
1764054052138,144,151
1764054052155,150,141
1764054052171,154,126
1764054052188,157,110
1764054052304,129,82
1764054052323,123,87
1764054052339,118,94
1764054052354,114,103
1764054052371,111,113
1764054052388,110,123
1764054052404,110,131
1764054052420,112,138
1764054052437,116,143
1764054052455,121,146
1764054052471,126,147
1764054052488,131,147
1764054052505,136,144
1764054052520,140,136
1764054052538,145,122
1764054052555,148,102
1764054052605,145,52
1764054052620,139,46
1764054052637,132,44
1764054052654,124,44
1764054052671,115,45
1764054052687,107,51
1764054052705,99,59
1764054052789,90,103
1764054052804,93,108
1764054052821,97,112
1764054052838,101,114
1764054052855,104,115
1764054052871,108,116
1764054052887,111,116
1764054052905,114,116
1764054052921,116,116
1764054052938,118,116
1764054052954,118,115
1764054052970,118,115
-1,-1,-1
-1,-1,-1
-1,-1,-1
