StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,E_consent_yes,device_eligibility,age,gender,gender_3_TEXT,LEAPQ_edu_level,LEAPQ_edu_level_9_TEXT,language_Kor,Korean_heritage,LEAPQ_other_immigr,LEAPQ_dominance_1,LEAPQ_dominance_2,LEAPQ_dominance_3,LEAPQ_dominance_4,LEAPQ_dominance_5,LEAPQ_acquisition_1,LEAPQ_acquisition_2,LEAPQ_acquisition_3,LEAPQ_acquisition_4,LEAPQ_acquisition_5,Kor_AoA_1,Kor_AoA_2,Kor_AoA_3,Kor_AoA_4,Kor_langenv_1,Kor_langenv_2,Kor_langenv_3,Kor_profspk,Kor_profcomp,Kor_profrd,Kor_learnenv_1,Kor_learnenv_2,Kor_learnenv_3,Kor_learnenv_4,Kor_learnenv_5,Kor_learnenv_6,Kor_expenv_1,Kor_expenv_2,Kor_expenv_3,Kor_expenv_4,Kor_expenv_5,Kor_expenv_6,KorEng_dominance_1,KorEng_dominance_4,KorEng_dominance_5,Eng_AoA_1,Eng_AoA_2,Eng_AoA_3,Eng_AoA_4,Eng_langenv_1,Eng_langenv_2,Eng_langenv_3,Eng_langenv_4,Eng_profspk,Eng_profcomp,Eng_profrd,Eng_learnev_1,Eng_learnev_2,Eng_learnev_3,Eng_learnev_4,Eng_learnev_5,Eng_learnev_6,Eng_learnev_7,Eng_expenv_1,Eng_expenv_2,Eng_expenv_3,Eng_expenv_4,Eng_expenv_5,Eng_expenv_6,userID,DeviceIdentifier,AoA_lang1,AoA_lang2,AoA_lang3,AoA_lang4,AoA_lang5
11/23/2025 0:34,11/23/2025 0:47,0,100,763,1,11/23/2025 0:47,R_3VK4mIHHpkkScJk,,,,,25.6062,-80.3452,anonymous,EN,1,1,29,1,,5,,2,2,,English,Spanish,,,,English,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,5,6,29 years,29 years,25 years,7 years,11,11,11,4,5,10,2,7,3,8,9,6,10,1,9,9,P12,,English,Spanish,,,
11/23/2025 0:38,11/23/2025 0:50,0,100,706,1,11/23/2025 0:50,R_71poWbcgmfk1mNt,,,,,29.8737,-97.9361,anonymous,EN,1,1,27,1,,2,,2,2,No I was born in the usa,English,Spanish,French,Taiwanese Mandarin ,,Taiwanese Mandarin,English,French,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,23,23,23,7,11,11,11,10,10,10,10,7,9,9,10,10,10,10,10,10,P13,,Taiwanese Mandarin,English,French,Spanish,
11/23/2025 0:46,11/23/2025 0:54,0,100,471,1,11/23/2025 0:54,R_3IEobWCoXOeWrgl,,,,,32.0176,-80.9925,anonymous,EN,1,1,59,1,,"3,4",,2,2,,English,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,55,57 years 6 months,59,59,7Years,10,10,10,10,10,10,1,7,8,10,10,10,10,1,10,8,P0,,English,,,,
11/23/2025 0:50,11/23/2025 0:54,0,100,226,1,11/23/2025 0:54,R_5QDtdH28MbOZ9np,,,,,32.6387,-117.0801,anonymous,EN,1,1,39,1,,4,,2,2,,English,German,,,,English,"Germ,an",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,6,39 years,39 years,17 years,7 years,11,11,11,5,9,10,1,7,8,9,9,10,9,5,6,7,P9,,English,"Germ,an",,,
11/23/2025 0:27,11/23/2025 0:54,0,100,1643,1,11/23/2025 0:54,R_3QFOYlYOP17kmyD,,,,,37.8117,-80.4434,anonymous,EN,1,1,37,1,,5,,2,2,,English,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,6,37,18,16,7,11,11,11,6,8,9,4,7,3,6,10,10,10,0,8,6,P15,,English,,,,
11/23/2025 0:50,11/23/2025 0:56,0,100,365,1,11/23/2025 0:56,R_5KmaSgti0us7zP1,,,,,33.7215,-118.0509,anonymous,EN,1,1,38,1,,2,,2,2,,English,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,38 years,38 years,22 years,7 years,10,10,10,1,3,5,0,7,1,2,10,10,10,0,8,9,P11,,English,,,,
11/23/2025 1:36,11/23/2025 1:39,0,100,131,1,11/23/2025 1:39,R_6DpyNsWh48gXQ3i,,,,,33.9626,-78.4101,anonymous,EN,1,1,34,1,,2,,2,2,,English,Japanese,,,,English,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,6,10,34,34,17,7,11,11,11,5,10,10,0,7,8,10,10,10,10,0,10,10,P3,,English,Japanese,,,
11/23/2025 1:51,11/23/2025 2:03,0,100,674,1,11/23/2025 2:03,R_5oyZrcswbJjytAq,,,,,39.112,-94.5214,anonymous,EN,1,1,46,1,,7,,2,2,NO,English,French,,,,English,French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,4,46 years,46 years,25 years,7 years,11,11,11,10,10,10,1,7,4,10,10,10,10,0,7,3,P19,,English,French,,,
11/23/2025 2:01,11/23/2025 2:04,0,100,167,1,11/23/2025 2:04,R_7R8zfSbHPIWBc0F,,,,,34.011,-118.1145,anonymous,EN,1,1,22,1,,4,,2,2,na,english,,,,,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,4,6,22y 8m ,22y 8m,18y 8m ,7 years,10,10,11,7,8,9,0,7,5,8,4,8,9,0,7,4,P6,,english,,,,
11/23/2025 3:18,11/23/2025 3:23,0,100,301,1,11/23/2025 3:23,R_7ntkUnVGCsdFB1T,,,,,34.224,-82.1625,anonymous,EN,1,1,73,2,,7,,2,2,,English,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,8,73,73,19,7,11,11,11,9,10,9,0,7,3,6,9,9,4,0,9,1,P7,,English,,,,
