1764044958208,111,117
1764044958220,110,117
1764044958238,109,117
1764044958254,108,117
1764044958270,107,117
1764044958286,105,117
1764044958303,102,117
1764044958320,99,118
1764044958336,96,120
1764044958353,93,122
1764044958370,90,124
1764044958386,86,127
1764044958403,83,128
1764044958420,80,130
1764044958436,79,132
1764044958453,79,134
1764044958470,78,136
1764044958486,77,138
1764044958503,77,142
1764044958520,77,145
1764044958536,77,148
1764044958553,78,152
1764044958570,80,154
1764044958586,82,159
1764044958603,86,164
1764044958620,90,170
1764044958636,92,173
1764044958653,94,175
1764044958670,96,177
1764044958686,97,179
1764044958703,100,182
1764044958720,107,184
1764044958736,113,188
1764044958753,115,190
1764044958770,116,190
1764044958786,117,190
1764044958803,121,190
1764044958820,128,190
1764044958836,135,190
1764044958853,144,190
1764044958870,153,188
1764044958887,158,186
1764044958903,160,184
1764044958970,172,175
1764044958986,173,174
1764044959003,173,173
1764044959020,174,171
1764044959036,174,170
1764044959053,174,166
1764044959070,174,163
1764044959086,171,157
1764044959103,167,148
1764044959120,164,142
1764044959136,159,135
1764044959153,155,129
1764044959170,154,127
1764044959187,153,125
1764044959236,150,125
1764044959253,143,126
1764044959270,135,128
1764044959286,127,131
1764044959303,117,137
1764044959320,108,142
1764044959336,102,148
1764044959353,100,150
1764044959370,98,153
1764044959386,97,153
1764044959446,97,154
1764044959454,98,154
1764044959470,111,150
1764044959486,133,142
1764044959503,138,138
1764044959520,139,137
1764044959548,139,136
1764044959553,139,135
1764044959570,137,133
1764044959586,131,130
1764044959603,115,128
1764044959620,92,127
1764044959636,74,127
1764044959653,66,129
1764044959670,65,131
1764044959692,65,132
1764044959704,68,132
1764044959720,87,129
1764044959737,108,118
1764044959753,131,103
1764044959853,133,107
1764044959870,121,122
1764044959886,116,129
1764044959903,115,130
1764044959968,115,131
1764044959972,118,131
1764044959986,124,131
1764044960003,134,126
1764044960020,140,119
1764044960036,143,115
1764044960087,142,115
1764044960103,126,118
1764044960120,92,126
1764044960136,73,135
1764044960153,66,140
1764044960170,66,143
1764044960198,66,144
1764044960214,66,145
1764044960222,67,145
1764044960236,80,145
1764044960253,120,135
1764044960270,149,129
1764044960286,160,126
1764044960303,161,125
1764044960334,156,125
1764044960338,152,126
1764044960353,139,129
1764044960370,118,137
1764044960386,107,141
1764044960403,106,142
1764044960453,106,143
