1763885963517,110,90
1763885963524,107,82
1763885963538,103,72
1763885963555,99,61
1763885963571,98,50
1763885963588,98,44
1763885963605,98,40
1763885963621,98,34
1763885963638,99,32
1763885963654,100,29
1763885963671,101,27
1763885963688,104,26
1763885963705,106,26
1763885963738,110,27
1763885963755,113,29
1763885963771,116,34
1763885963788,117,37
1763885963805,117,39
1763885963821,117,41
1763885963838,116,43
1763885963855,114,44
1763885963871,113,45
1763885963888,110,45
1763885963905,106,42
1763885963922,104,39
1763885963938,99,22
1763885964005,106,14
1763885964022,119,22
1763885964039,128,30
1763885964055,139,40
1763885964072,143,43
1763885964088,143,45
1763885964105,143,46
1763885964122,142,47
1763885964138,140,48
1763885964155,133,50
1763885964172,126,50
1763885964188,116,42
1763885964205,111,30
1763885964221,110,18
1763885964238,110,15
1763885964255,112,14
1763885964272,116,12
1763885964288,118,12
1763885964305,121,13
1763885964322,122,16
1763885964338,124,20
1763885964355,124,28
1763885964372,122,34
1763885964388,119,39
1763885964405,115,41
1763885964421,113,43
1763885964438,112,43
1763885964455,111,43
1763885964471,111,41
1763885964488,111,35
1763885964505,113,24
1763885964522,115,15
1763885964538,117,14
1763885964567,118,14
1763885964574,118,15
1763885964588,119,20
1763885964605,119,27
1763885964622,116,34
1763885964638,113,39
1763885964655,112,41
1763885964672,111,41
1763885964722,111,37
1763885964739,113,32
1763885964755,114,27
1763885964772,115,25
1763885964788,117,25
1763885964805,119,27
1763885964822,120,34
1763885964839,120,47
1763885964855,118,54
1763885964871,114,58
1763885964888,112,60
1763885964905,111,61
1763885964922,109,61
1763885964938,107,59
1763885964955,106,53
1763885964971,106,49
1763885964988,107,41
1763885965004,109,38
1763885965021,111,35
1763885965038,116,33
1763885965054,118,33
1763885965071,120,36
1763885965088,122,45
1763885965104,122,54
1763885965121,119,64
1763885965138,117,66
1763885965154,115,66
1763885965171,113,64
1763885965189,109,55
1763885965204,108,47
1763885965221,108,42
1763885965238,108,38
1763885965255,111,34
1763885965271,113,33
1763885965288,117,34
1763885965305,119,37
1763885965321,123,47
1763885965338,123,52
1763885965355,123,57
1763885965371,123,58
1763885965388,122,59
1763885965405,118,59
1763885965422,116,59
1763885965438,114,57
1763885965455,113,52
1763885965472,113,45
1763885965488,120,32
1763885965505,123,29
1763885965521,127,26
1763885965539,134,26
1763885965555,137,30
1763885965571,137,40
1763885965588,135,48
1763885965605,126,60
1763885965622,122,62
1763885965638,118,63
1763885965655,114,60
1763885965671,113,52
1763885965688,114,34
1763885965705,119,16
1763885965789,132,17
1763885965805,133,24
1763885965824,132,30
